CHEM,CAS_Num,MW,MP,Kow,VP,WS,Koc,Biod_class
Formaldehyde,000050-00-0,30.03,-110.94,2.238721139,465000,57020,7.752,readily biodegradable
"Propanoic acid, 2-hydroxy-",000050-21-5,90.08,22.66,0.223872114,3.81,1000000,0.2218,readily biodegradable
D-Glucose,000050-99-7,180.16,132.79,0.00128825,0.0000178,1000000,0.01658,readily biodegradable
"1,3-Benzodioxole, 5-  2-(2-butoxyethoxy)ethoxy methyl -6-propyl-",000051-03-6,338.45,152.74,19498.446,0.000696,0.6384,2469,not biodegradable
"1,3-Propanediol, 2-bromo-2-nitro-",000052-51-7,199.99,90.85,0.229086765,0.000808,62850,0.9275,not biodegradable
"1,2,3-Propanetriol",000056-81-5,92.1,19.44,0.022387211,0.0106,1000000,0.1345,readily biodegradable
"1-Hexadecanaminium, N,N,N-trimethyl-, bromide",000057-09-0,364.46,221.99,1513.561248,5.35E-09,9.651,395.3,not biodegradable
Hexadecanoic acid,000057-10-3,256.43,116.42,9120108.394,0.00736,0.04073,13230,readily biodegradable
Urea,000057-13-6,60.06,28.99,0.027542287,27.8,425900,0.5595,not biodegradable
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl",000057-50-1,342.3,255.38,5.37E-05,4.71E-14,1000000,0.006079,readily biodegradable
"1,2-Propanediol",000057-55-6,76.1,-33.01,0.165958691,14.8,811100,0.392,readily biodegradable
"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trime",000058-95-7,472.76,202.99,1.82E+12,0.00000537,3.65E-08,49750000,not biodegradable
"Phenol, 4-chloro-3-methyl-",000059-50-7,142.59,36.15,501.1872336,1.37,699.3,640.7,not biodegradable
"Glycine, N,N -1,2-ethanediylbis[N-(carboxymethyl)-",000060-00-4,292.25,315.39,0.000138038,5.03E-10,228200,0.007761,not biodegradable
Benzeneethanol,000060-12-8,122.17,5.81,37.15352291,3.24,21990,18.45,readily biodegradable
"Glycine, N,N -1,2-ethanediylbis[N-(carboxymethyl)-, tetrasodium salt",000064-02-8,380.17,246.56,6.76E-14,1.99E-10,1000000,5.50E-08,readily biodegradable
Ethanol,000064-17-5,46.07,-87.84,0.72443596,8120,792100,2.199,readily biodegradable
Formic acid,000064-18-6,46.03,-24.95,0.34673685,4780,955200,0.7195,readily biodegradable
Benzoic acid,000065-85-0,122.12,48.85,74.13102413,0.397,2493,15.49,readily biodegradable
Methanol,000067-56-1,32.04,-101,0.234422882,15800,1000000,1.224,readily biodegradable
2-Propanol,000067-63-0,60.1,-89.16,1.905460718,6610,402400,3.478,readily biodegradable
2-Propanone,000067-64-1,58.08,-93.58,0.575439937,33200,219900,9.726,readily biodegradable
"Methane, trichloro-",000067-66-3,119.38,-78.9,33.11311215,25100,2096,51.21,not biodegradable
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, trisodium salt",000068-04-2,258.07,210.96,0.52480746,2.79E-10,120000,0.3885,readily biodegradable
"Benzoic acid, 2-hydroxy-",000069-72-7,138.12,93.83,173.7800829,0.00425,3808,37.38,readily biodegradable
1-Propanol,000071-23-8,60.1,-74.95,2.238721139,3090,271500,4.487,readily biodegradable
"Propanoic acid, 2-hydroxy-, monosodium salt",000072-17-3,112.06,174.03,1.70E-05,0.00000203,1000000,0.001276,readily biodegradable
Propane,000074-98-6,44.1,-133.89,64.5654229,819000,368.9,111.6,readily biodegradable
Acetaldehyde,000075-07-0,44.05,-106.38,0.676082975,121000,256800,3.219,readily biodegradable
"Methane, dichloro-",000075-09-2,84.93,-89.5,21.87761624,57500,10950,12.15,not biodegradable
Oxirane,000075-21-8,44.05,-109.3,0.891250938,167000,237400,4.662,readily biodegradable
"Oxirane, methyl-",000075-56-9,58.08,-100.23,2.344228815,70900,129300,7.097,readily biodegradable
"2-Propanol, 2-methyl-",000075-65-0,74.12,-73.81,5.370317964,6250,217500,5.096,not biodegradable
"Bicyclo 2.2.1 heptan-2-one, 1,7,7-trimethyl-",000076-22-2,152.24,28.07,1096.478196,1.42,339.1,432.8,readily biodegradable
"1H-3a,7-Methanoazulen-6-ol, octahydro-3,6,8,8-tetramethyl-,  3R-(3.al",000077-53-2,222.37,75.52,21379.6209,0.0165,21.88,810.4,not biodegradable
"Oxiranecarboxylic acid, 3-methyl-3-phenyl-, ethyl ester",000077-83-8,206.24,67.05,1000,0.423,111.3,268.1,not biodegradable
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",000077-92-9,192.13,169.23,0.021379621,0.000000752,1000000,0.06873,readily biodegradable
"3-Octanol, 3,7-dimethyl-",000078-69-3,158.29,-11.77,3981.071706,9.51,188.9,319.8,not biodegradable
"1,6-Octadien-3-ol, 3,7-dimethyl-",000078-70-6,154.25,-11.39,2398.832919,11.1,683.7,143.4,readily biodegradable
"1-Propanol, 2-methyl-",000078-83-1,74.12,-74.01,5.888436554,1780,97120,8.591,readily biodegradable
"Ethene, trichloro-",000079-01-6,131.39,-77.15,295.1209227,9660,778.7,125.9,not biodegradable
"Acetamide, 2-chloro-",000079-07-2,93.51,41.6,0.263026799,1.41,345700,4.248,readily biodegradable
"Acetic acid, chloro-",000079-11-8,94.5,10.88,2.187761624,32.9,195300,1.894,readily biodegradable
"Acetic acid, hydroxy-",000079-14-1,76.05,23.33,0.085113804,2.27,1000000,0.135,readily biodegradable
Ethaneperoxoic acid,000079-21-0,76.05,-42.32,0.085113804,3240,1000000,1.27,not biodegradable
"Propanoic acid, 2-hydroxy-, (S)-",000079-33-4,90.08,22.66,0.223872114,3.81,1000000,0.2218,readily biodegradable
"3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, acetate",000080-26-2,196.29,21.47,21877.61624,6.63,18.97,1122,not biodegradable
"Benzenepropanal, 4-(1,1-dimethylethyl)-.alpha.-methyl-",000080-54-6,204.31,46.29,22908.67653,0.477,7.859,1281,not biodegradable
"Bicyclo 3.1.1 hept-2-ene, 2,6,6-trimethyl-",000080-56-8,136.24,-13.62,18620.87137,536,4.071,7130,readily biodegradable
"2-Propenoic acid, 2-methyl-, methyl ester",000080-62-6,100.12,-79.63,19.05460718,4890,7747,41.96,readily biodegradable
"Ethanone, 1- 4-(1,1-dimethylethyl)-2,6-dimethyl-3,5-dinitrophenyl -",000081-14-1,294.31,159.51,20417.37945,0.0000778,1.148,8656,not biodegradable
"Benzene, 1-(1,1-dimethylethyl)-3,5-dimethyl-2,4,6-trinitro-",000081-15-2,297.27,152.88,28183.82931,0.0000847,0.8214,6679,not biodegradable
"1,2-Benzenedicarboxylic acid, dibutyl ester",000084-74-2,278.35,6.04,40738.02778,0.0303,2.351,1919,readily biodegradable
"1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-trichloro-",000087-90-1,232.41,171.73,8.7096359,0.00000216,4610,26.58,not biodegradable
"Phenol, 4-chloro-3,5-dimethyl-",000088-04-0,156.61,51.24,1778.27941,0.24,434.6,795.6,not biodegradable
"Cyclohexanol, 2-(1,1-dimethylethyl)-, acetate",000088-41-5,198.31,10.93,26302.67992,7.1,7.462,2015,not biodegradable
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, acetate, (1.alpha.,2.beta.",000089-48-5,198.31,0.67,24547.08916,12.2,17.13,1180,readily biodegradable
"Phenol, 5-methyl-2-(1-methylethyl)-",000089-83-8,150.22,38.1,3311.311215,2.23,437.4,826.6,not biodegradable
"1,1'-Biphenyl -2-ol",000090-43-7,170.21,86.56,1905.460718,0.0941,535.8,632.6,readily biodegradable
Naphthalene,000091-20-3,128.18,5.01,1479.108388,5.38,142.1,730.6,not biodegradable
2H-1-Benzopyran-2-one,000091-64-5,146.15,33.34,32.35936569,0.0876,5126,42.5,readily biodegradable
"1,1 -Biphenyl",000092-52-4,154.21,25.07,5754.399373,0.999,27.35,3019,readily biodegradable
"Naphthalene, 2-methoxy-",000093-04-9,158.2,38.43,1778.27941,0.356,75.88,795,not biodegradable
"Ethanone, 1-(2-naphthalenyl)-",000093-08-3,170.21,66.7,707.9457844,0.121,226.1,497.9,not biodegradable
"Benzenemethanol, .alpha.-methyl-, acetate",000093-92-5,164.21,-0.17,316.227766,14.9,481.1,174.7,readily biodegradable
"Benzoic acid, 4-hydroxy-, propyl ester",000094-13-3,180.21,71.81,954.992586,0.0409,529.3,510.3,readily biodegradable
"Benzoic acid, 4-hydroxy-, butyl ester",000094-26-8,194.23,81.45,2951.209227,0.0335,159,1002,readily biodegradable
"Peroxide, dibenzoyl",000094-36-0,242.23,-2.07,2691.534804,0.0093,28.97,240.1,readily biodegradable
"1,3-Hexanediol, 2-ethyl-",000094-96-2,146.23,13.17,39.81071706,0.4,3389,9.71,readily biodegradable
1H-Benzotriazole,000095-14-7,119.13,85.2,14.79108388,0.00328,5957,62.3,not biodegradable
"2-Butanone, oxime",000096-29-7,87.12,-57.96,48.97788194,157,36630,3.519,inherently biodegradable
"Phenol, 2-methoxy-4-(2-propenyl)-",000097-53-0,164.21,60.57,537.0317964,1.26,754,253.2,not biodegradable
"Phenol, 2-methoxy-4-(1-propenyl)-",000097-54-1,164.21,61.93,446.6835922,0.508,165.9,675.1,readily biodegradable
"Urea, (2,5-dioxo-4-imidazolidinyl)-",000097-59-6,158.12,194.42,0.000724436,0.000000174,1000000,0.132,not biodegradable
Benzenesulfonic acid,000098-11-3,158.17,88.75,0.067608298,0.00228,689500,1.896,not biodegradable
"3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-",000098-55-5,154.25,12.36,2137.96209,2.62,371.7,212.8,readily biodegradable
"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-",000099-49-0,150.22,9.86,1174.897555,17.3,367.1,416.6,not biodegradable
"Benzoic acid, 4-hydroxy-, methyl ester",000099-76-3,152.15,51.47,100,0.114,5981,129,readily biodegradable
"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",000099-86-5,136.24,-31.15,56234.13252,222,5.915,4877,not biodegradable
"Benzene, 1-methyl-4-(1-methylethyl)-",000099-87-6,134.22,-28.15,10000,152,27.88,3614,readily biodegradable
"Ethanol, 2-(diethylamino)-",000100-37-8,117.19,-15.6,1.122018454,86.3,953900,2.992,not biodegradable
Benzenemethanol,000100-51-6,108.14,-5.43,12.02264435,7.14,41050,13.25,readily biodegradable
Benzaldehyde,000100-52-7,106.13,-21.97,51.2861384,135,6100,32.69,readily biodegradable
"Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-",000101-20-2,315.59,182.04,79432.82347,0.000000482,0.6479,5326,not biodegradable
"Benzene, (2,2-dimethoxyethyl)-",000101-48-4,166.22,-0.08,85.11380382,17.7,1439,64.78,not biodegradable
"Benzene, 1,1'-oxybis-",000101-84-8,170.21,35.35,11220.18454,2.26,15.58,2040,not biodegradable
"Octanal, 2-(phenylmethylene)-",000101-86-0,216.33,44.38,66069.3448,0.0712,2.75,2301,readily biodegradable
"Benzeneacetic acid, 2-phenylethyl ester",000102-20-5,240.3,89.4,19054.60718,0.0248,5.921,1686,not biodegradable
"Ethanol, 2,2 ,2  -nitrilotris-",000102-71-6,149.19,83.32,0.003311311,0.000451,1000000,0.3046,not biodegradable
"1,2,3-Propanetriol, triacetate",000102-76-1,218.21,-37.29,2.290867653,0.699,21520,8.554,readily biodegradable
"2-Propen-1-ol, 3-phenyl-, acetate",000103-54-8,176.22,20.45,707.9457844,1.62,212.3,272.9,readily biodegradable
"Benzenepropanal, .alpha.-methyl-4-(1-methylethyl)-",000103-95-7,190.29,29.1,8128.305162,3030,22.59,722,not biodegradable
"Benzenemethanol, 4-methoxy-, acetate",000104-21-2,180.21,33.38,144.5439771,0.343,782.9,128.9,readily biodegradable
"2-Propen-1-ol, 3-phenyl-",000104-54-1,134.18,15.84,69.18309709,0.358,6188,39.11,readily biodegradable
"2-Propenal, 3-phenyl-",000104-55-2,132.16,0.04,66.0693448,4.49,2150,55.82,readily biodegradable
"2(3H)-Furanone, 5-heptyldihydro-",000104-67-6,184.28,10.66,1148.153621,0.545,128.3,356.5,readily biodegradable
Lauryl pyridinium chloride,000104-74-5,283.89,90.1,6.918309709,0.0047,2939,36.82,not biodegradable
"1-Hexanol, 2-ethyl-",000104-76-7,130.23,-25.5,537.0317964,24.6,1379,105.6,readily biodegradable
"Butanoic acid, ethyl ester",000105-54-4,116.16,-56.83,70.79457844,1950,2745,76.35,readily biodegradable
"6-Octen-1-ol, 3,7-dimethyl-, formate",000105-85-1,184.28,-9.76,10232.92992,16.8,19.61,1196,readily biodegradable
"2,6-Octadien-1-ol, 3,7-dimethyl-, acetate, (E)-",000105-87-3,196.29,-6.1,30199.5172,6.17,18.24,1151,readily biodegradable
"1,4-Dioxacycloheptadecane-5,17-dione",000105-95-3,270.37,71.08,51286.1384,0.0000585,1.719,2507,readily biodegradable
Oxacyclohexadecan-2-one,000106-02-5,240.39,26.06,1412537.545,0.00689,0.1484,18250,readily biodegradable
"1-Octanol, 3,7-dimethyl-",000106-21-8,158.29,-13.66,4365.158322,4.74,175.4,336.6,readily biodegradable
"6-Octen-1-ol, 3,7-dimethyl-",000106-22-9,156.27,-12.16,3630.780548,2.26,105.5,474.7,readily biodegradable
"6-Octenal, 3,7-dimethyl-",000106-23-0,154.25,-28.33,3388.441561,33.9,38.94,652.1,readily biodegradable
"2,6-Octadien-1-ol, 3,7-dimethyl-, (E)-",000106-24-1,154.25,-10.78,2951.209227,2.12,255.8,271,inherently biodegradable
"2,6-Octadien-1-ol, 3,7-dimethyl-, (Z)-",000106-25-2,154.25,-10.78,2951.209227,2.12,255.8,271,readily biodegradable
"Heptanoic acid, ethyl ester",000106-30-9,158.24,-20.94,2089.296131,91.5,101.9,496.5,readily biodegradable
"Phenol, 4-methyl-",000106-44-5,108.14,15.69,114.8153621,16.6,9246,146.2,readily biodegradable
"Benzene, 1,4-dichloro-",000106-46-7,147,-14.33,1905.460718,88,90.24,966.4,not biodegradable
"Ethane, 1,2-dichloro-",000107-06-2,98.96,-76.77,67.60829754,10000,6414,19.23,not biodegradable
"1,2-Ethanediol",000107-21-1,62.07,-31.62,0.063095734,8.12,1000000,0.2239,readily biodegradable
Ethanedial,000107-22-2,58.04,-66.69,0.021877616,38400,1000000,0.3535,readily biodegradable
"2,4-Pentanediol, 2-methyl-",000107-41-5,118.18,-7.37,3.801893963,7.77,32560,2.649,inherently biodegradable
"Octanal, 7-hydroxy-3,7-dimethyl-",000107-75-5,172.27,23.36,128.8249552,0.773,3042,28.28,not biodegradable
"1,3-Butanediol",000107-88-0,90.12,-21.13,0.512861384,4.27,220400,0.8746,readily biodegradable
Acetic acid ethenyl ester,000108-05-4,86.09,-83.5,5.370317964,15800,30250,18.34,readily biodegradable
"Acetic acid, 1-methylethyl ester",000108-21-4,102.13,-81.08,19.05460718,8110,9268,36.94,readily biodegradable
"1,3-Dioxolan-2-one, 4-methyl-",000108-32-7,102.09,19.56,1.202264435,5.55,258200,2.945,readily biodegradable
"Benzene, chloro-",000108-90-7,112.56,-45.78,436.5158322,1240,400.5,291.4,not biodegradable
Phenol,000108-95-2,94.11,-2.27,32.35936569,43,26160,79.34,readily biodegradable
Pentane,000109-66-0,72.15,-106.92,630.9573445,68400,49.76,874.5,readily biodegradable
"Ethanol, 2-methoxy-",000109-86-4,76.1,-56.58,0.123026877,748,1000000,0.9935,readily biodegradable
Butanedioic acid,000110-15-6,118.09,83.27,0.177827941,0.0144,807900,0.6751,readily biodegradable
2-Butenedioic acid (E)-,000110-17-8,116.07,84.12,1.122018454,1.26E-09,104200,2.571,readily biodegradable
"Tetradecanoic acid, 1-methylethyl ester",000110-27-0,270.46,44.42,14791083.88,0.108,0.01354,66900,readily biodegradable
"2,4-Hexadienoic acid, (E,E)-",000110-44-1,112.13,24.62,41.68693835,1.32,19440,7.787,readily biodegradable
Morpholine,000110-91-8,87.12,-15.24,0.27542287,1460,1000000,2.066,not biodegradable
"2-Propanol, 1,1 -oxybis-",000110-98-5,134.18,6.09,0.229086765,0.973,310700,0.4546,not biodegradable
Pentanedial,000111-30-8,100.12,-29.86,0.660693448,251,167200,2.328,inherently biodegradable
"Ethanol, 2-butoxy-",000111-76-2,118.18,-20.31,3.715352291,63.3,64470,7.624,readily biodegradable
"Ethanol, 2-(2-methoxyethoxy)-",000111-77-3,120.15,-14.6,0.066069345,15,1000000,0.4784,readily biodegradable
"Ethanol, 2-(2-ethoxyethoxy)-",000111-90-0,134.18,-3.05,0.204173794,12.5,828000,1.081,readily biodegradable
"1-Dodecanaminium, N,N,N-trimethyl-, chloride",000112-00-5,263.9,182.19,16.59586907,0.00000124,1795,32.57,not biodegradable
"1-Hexadecanaminium, N,N,N-trimethyl-, chloride",000112-02-7,320.01,212.55,1513.561248,3.73E-08,16.33,421.3,not biodegradable
"Ethanol, 2,2 -[1,2-ethanediylbis(oxy)]bis-",000112-27-6,150.18,47.17,0.017782794,0.0265,1000000,0.08975,readily biodegradable
Decanal,000112-31-2,156.27,-8.09,5754.399373,31.4,43.52,596.5,readily biodegradable
"Ethanol, 2-(2-butoxyethoxy)-",000112-34-5,162.23,19.26,1.9498446,1.46,71920,4.387,readily biodegradable
10-Undecenoic acid,000112-38-9,184.28,71.46,23442.28815,0.935,65.84,195.3,readily biodegradable
10-Undecenal,000112-45-8,168.28,1.73,13182.56739,8.71,19.08,943.4,readily biodegradable
1-Dodecanol,000112-53-8,186.34,29.19,58884.36554,0.242,6.898,2245,readily biodegradable
Dodecanal,000112-54-9,184.32,13.84,56234.13252,2.06,4.649,2105,readily biodegradable
9-Octadecenoic acid (Z)-,000112-80-1,282.47,132.66,53703179.64,0.00684,0.01151,24080,readily biodegradable
"9-Octadecen-1-amine, (Z)-",000112-90-3,267.5,92.87,31622776.6,0.0000898,0.07639,112700,not biodegradable
"Phenol, 2-(1-methylethoxy)-, methylcarbamate",000114-26-1,209.25,68.65,79.43282347,0.113,1974,53.17,not biodegradable
"1,6-Octadien-3-ol, 3,7-dimethyl-, acetate",000115-95-7,196.29,-2.09,24547.08916,17.5,20.12,1080,not biodegradable
"Benzoic acid, 3,4,5-trimethoxy-",000118-41-2,212.2,118.68,24.54708916,0.00092,2482,10.87,not biodegradable
"2,4-Imidazolidinedione, 1,3-dichloro-5,5-dimethyl-",000118-52-5,197.02,123.26,0.114815362,0.00321,14210,2.341,not biodegradable
"Benzoic acid, 2-hydroxy-, phenylmethyl ester",000118-58-1,228.25,115.48,20417.37945,0.0024,24.59,2572,not biodegradable
"4H-Pyran-4-one, 3-hydroxy-2-methyl-",000118-71-8,126.11,60.2,0.645654229,0.00571,79760,4.661,readily biodegradable
"Benzoic acid, 2-hydroxy-, methyl ester",000119-36-8,152.15,51.47,398.1071706,7.12,1875,273.4,readily biodegradable
"Ethanone, 2-hydroxy-1,2-diphenyl-",000119-53-9,212.25,106.61,69.18309709,0.000077,1856,77.16,readily biodegradable
"Methanone, diphenyl-",000119-61-9,182.22,63.55,1412.537545,0.121,103.3,758,not biodegradable
"Dodecanamide, N,N-bis(2-hydroxyethyl)-",000120-40-1,287.45,161.57,776.2471166,0.000000897,49.91,45.02,readily biodegradable
"Benzoic acid, 4-hydroxy-, ethyl ester",000120-47-8,166.18,61.81,309.0295433,0.0124,1894,246.9,readily biodegradable
"Benzoic acid, phenylmethyl ester",000120-51-4,212.25,70.75,3467.368505,0.0741,15.39,1136,readily biodegradable
"Benzaldehyde, 4-hydroxy-3-methoxy-",000121-33-5,152.15,71.55,11.22018454,0.0595,6875,38.71,readily biodegradable
"Ethanone, 1-(4-methylphenyl)-",000122-00-9,134.18,7.85,165.9586907,11.3,1424,191.5,readily biodegradable
"Ammonium, benzyldimethyloctadecyl-, chloride",000122-19-0,424.16,262.7,741310.2413,1.59E-11,0.02082,12160,not biodegradable
"2-Propanol, 1,1 ,1  -nitrilotris-",000122-20-3,191.27,78.63,0.060255959,0.00248,1000000,0.2302,not biodegradable
Benzenepropanol,000122-97-4,136.2,16.79,114.8153621,1.13,6969,35.77,readily biodegradable
"Ethanol, 2-phenoxy-",000122-99-6,138.17,22.47,12.58925412,0.598,28180,16.26,readily biodegradable
"Pyridinium, 1-hexadecyl-, chloride",000123-03-5,340,126.19,630.9573445,0.00046,246.6,111.5,not biodegradable
"Benzaldehyde, 4-methoxy-",000123-11-5,136.15,12.84,61.65950019,4.04,2728,53.12,readily biodegradable
"Hexanoic acid, ethyl ester",000123-66-0,144.22,-32.64,676.0829754,240,308.7,266,readily biodegradable
"Hexanoic acid, 2-propenyl ester",000123-68-2,156.23,-22.26,1513.561248,96.1,136.1,415.4,readily biodegradable
"Hexanedioic acid, dioctyl ester",000123-79-5,370.58,35.32,181970085.9,0.00162,0.0004083,230600,readily biodegradable
"Acetic acid, butyl ester",000123-86-4,116.16,-56.83,70.79457844,1590,3128,69.84,readily biodegradable
"1-Butanol, 3-methyl-, acetate",000123-92-2,130.19,-56.05,181.9700859,756,1100,127.1,readily biodegradable
Hexanedioic acid,000124-04-9,146.14,101.99,1.698243652,0.00171,167300,1.585,readily biodegradable
Octanoic acid,000124-07-2,144.22,48.39,1071.519305,6.51,495.9,69.63,readily biodegradable
Carbon dioxide,000124-38-9,44.01,-105.19,6.760829754,2370000,25720,14.29,readily biodegradable
"Bicyclo 2.2.1 heptan-2-ol, 1,7,7-trimethyl-, exo-",000124-76-5,154.25,26.56,707.9457844,0.0572,1186,100.4,not biodegradable
"Bicyclo 2.2.1 heptan-2-ol, 1,7,7-trimethyl-, acetate, exo-",000125-12-2,196.29,34.11,7244.359601,14.3,9.721,1730,not biodegradable
"1,6-Octadien-3-ol, 3,7-dimethyl-, (R)-",000126-91-0,154.25,-11.39,2398.832919,11.1,683.7,143.4,not biodegradable
Sodium 2-ethylhexyl sulfate,000126-92-1,232.27,229,0.446683592,3.01E-09,58430,7.815,not biodegradable
"Acetic acid, sodium salt",000127-09-3,82.03,148.53,0.000190546,0.000000716,1000000,0.01253,readily biodegradable
"3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (E)-",000127-41-3,192.3,43.06,19498.446,3.62,24.67,1779,not biodegradable
"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",000127-51-5,206.33,45.26,69183.09709,1.3,2.98,6278,not biodegradable
"1,1'-Oxybis[2,3,3,3-tetrachloropropane]",000127-90-2,377.74,82.01,125892.5412,0.234,0.184,4523,not biodegradable
"Bicyclo 3.1.1 heptane, 6,6-dimethyl-2-methylene-",000127-91-3,136.24,-15.3,22387.21139,334,7.061,4074,not biodegradable
"Phenol, 2,6-bis(1,1-dimethylethyl)-4-methyl-",000128-37-0,220.36,83.01,107151.9305,0.236,5.748,8183,not biodegradable
"Phenol, 2,4-dichloro-3,5-dimethyl-",000133-53-9,191.06,67.93,7943.282347,0.146,86.84,1775,not biodegradable
"Benzoic acid, 2-amino-, methyl ester",000134-20-3,151.17,55.76,181.9700859,2.63,1860,75.47,not biodegradable
"Benzamide, N,N-diethyl-3-methyl-",000134-62-3,191.28,85.69,181.9700859,0.442,666,72.12,not biodegradable
"Glycine, N-(carboxymethyl)-N-(2-hydroxyethyl)-, disodium salt",000135-37-5,221.12,207.47,5.37E-09,2.19E-10,1000000,0.00001272,readily biodegradable
"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt",000137-16-6,293.39,258.81,2.344228815,2.93E-11,6490,2.056,readily biodegradable
"Propanoic acid, sodium salt",000137-40-6,96.06,149.59,0.000588844,0.000048,1000000,0.02339,readily biodegradable
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-",000138-86-3,136.24,-40.76,67608.29754,193,4.581,6324,readily biodegradable
"Benzenemethanaminium, N-dodecyl-N,N-dimethyl-, chloride",000139-07-1,340,230.18,851.1380382,2.51E-09,22.47,287.5,not biodegradable
"Ammonium, benzyldimethyltetradecyl-, chloride",000139-08-2,368.05,241.02,8128.305162,4.70E-10,2.203,1002,not biodegradable
Edetate disodium,000139-33-3,336.21,335.19,2.00E-12,1.01E-14,1000000,3.58E-07,readily biodegradable
"Glycine, N-[2-[bis(carboxymethyl)amino]ethyl]-N-(2-hydroxyethyl)-, tr",000139-89-9,344.21,254.13,4.37E-12,1.39E-13,1000000,2.14E-07,readily biodegradable
"Diethylenetriaminepentaacetic acid, pentasodium salt",000140-01-2,503.26,286.24,5.62E-17,3.80E-13,1000000,9.36E-10,readily biodegradable
"Acetic acid, phenylmethyl ester",000140-11-4,150.18,-0.5,120.2264435,25,1605,87.83,readily biodegradable
"Ethanol, 2-amino-",000141-43-5,61.08,-27.55,0.024547089,54.5,1000000,0.5852,readily biodegradable
Acetic acid ethyl ester,000141-78-6,88.11,-82.08,7.244359601,13100,29930,18.34,readily biodegradable
"Butanoic acid, 3-oxo-, ethyl ester",000141-97-9,130.14,-19.23,0.630957344,124,56170,15.61,readily biodegradable
"Heptanoic acid, 2-propenyl ester",000142-19-8,170.25,-10.81,4677.351413,30.2,44.64,775.3,readily biodegradable
Sodium octyl sulfate,000142-31-4,232.27,232.27,0.537031796,3.36E-09,50570,8.654,not biodegradable
"2-Propenoic acid, 2-methyl-, dodecyl ester",000142-90-5,254.42,33.9,4786300.923,0.189,0.05478,31160,readily biodegradable
Dodecanoic acid,000143-07-7,200.32,81.92,100000,0.188,12.76,501.3,readily biodegradable
