,시나리오,000117-81-7,028553-12-0,000115-96-8,013674-84-5,013674-87-8,166412-78-8,000084-74-2,000084-66-2
mdf,시나리오0,0,0,0,0,0,0,0,0
PVC tile,시나리오0,0,0,0,0,0,0,0,0
PVC floor,시나리오0,2.51E+10,2.00E+12,94200000,92000000,174000000,0,0,0
종이벽지,시나리오0,0,0,0,0,0,0,0,0
실크벽지,시나리오0,0,0,0,0,0,0,0,0
paint,시나리오0,0,0,0,0,0,0,0,0
mdf,시나리오1,0,0,0,0,0,0,0,0
PVC tile,시나리오1,2.51E+10,2.00E+12,20900000,18900000,253000000,0,0,0
PVC floor,시나리오1,0,0,0,0,0,0,0,0
종이벽지,시나리오1,0,0,0,0,0,0,0,0
실크벽지,시나리오1,0,0,0,0,0,0,0,0
paint,시나리오1,0,0,0,0,0,0,0,0
mdf,시나리오2,28840315.03,25118864.32,0,0,0,0,0,0
PVC tile,시나리오2,0,0,0,0,0,0,0,0
PVC floor,시나리오2,0,0,0,0,0,0,0,0
종이벽지,시나리오2,0,0,0,0,0,0,0,0
실크벽지,시나리오2,0,0,0,0,0,0,0,0
paint,시나리오2,0,0,0,0,0,0,0,0
mdf,시나리오3,0,0,0,0,0,0,0,0
PVC tile,시나리오3,0,0,0,0,0,0,0,0
PVC floor,시나리오3,2.51E+10,2.00E+12,94200000,92000000,174000000,0,0,0
종이벽지,시나리오3,0,0,0,0,0,0,0,0
실크벽지,시나리오3,0,0,0,0,0,0,0,0
paint,시나리오3,0,0,0,0,0,0,0,0
mdf,시나리오4,0,0,0,0,0,0,0,0
PVC tile,시나리오4,2.51E+10,2.00E+12,20900000,18900000,253000000,0,0,0
PVC floor,시나리오4,0,0,0,0,0,0,0,0
종이벽지,시나리오4,0,0,0,0,0,0,0,0
실크벽지,시나리오4,0,0,0,0,0,0,0,0
paint,시나리오4,0,0,0,0,0,0,0,0
mdf,시나리오5,28840315.03,25118864.32,0,0,0,0,0,0
PVC tile,시나리오5,0,0,0,0,0,0,0,0
PVC floor,시나리오5,0,0,0,0,0,0,0,0
종이벽지,시나리오5,0,0,0,0,0,0,0,0
실크벽지,시나리오5,0,0,0,0,0,0,0,0
paint,시나리오5,0,0,0,0,0,0,0,0
mdf,시나리오6,0,0,0,0,0,0,0,0
PVC tile,시나리오6,0,0,0,0,0,0,0,0
PVC floor,시나리오6,2.51E+10,2.00E+12,94200000,92000000,174000000,0,0,0
종이벽지,시나리오6,0,0,0,0,0,0,0,0
실크벽지,시나리오6,0,0,0,0,0,0,0,0
paint,시나리오6,0,0,0,0,0,0,501187233.6,35481338.92
mdf,시나리오7,0,0,0,0,0,0,0,0
PVC tile,시나리오7,2.51E+10,2.00E+12,20900000,18900000,253000000,0,0,0
PVC floor,시나리오7,0,0,0,0,0,0,0,0
종이벽지,시나리오7,0,0,0,0,0,0,0,0
실크벽지,시나리오7,0,0,0,0,0,0,0,0
paint,시나리오7,0,0,0,0,0,0,501187233.6,35481338.92
mdf,시나리오8,28840315.03,25118864.32,0,0,0,0,0,0
PVC tile,시나리오8,0,0,0,0,0,0,0,0
PVC floor,시나리오8,0,0,0,0,0,0,0,0
종이벽지,시나리오8,0,0,0,0,0,0,0,0
실크벽지,시나리오8,0,0,0,0,0,0,0,0
paint,시나리오8,0,0,0,0,0,0,501187233.6,35481338.92
mdf,시나리오9,0,0,0,0,0,0,0,0
PVC tile,시나리오9,0,0,0,0,0,0,0,0
PVC floor,시나리오9,2.51E+10,2.00E+12,94200000,92000000,174000000,0,0,0
종이벽지,시나리오9,0,0,0,0,0,0,0,0
실크벽지,시나리오9,0,0,0,0,0,0,0,0
paint,시나리오9,0,0,0,0,0,0,0,0
mdf,시나리오10,28840315.03,25118864.32,0,0,0,0,0,0
PVC tile,시나리오10,0,0,0,0,0,0,0,0
PVC floor,시나리오10,0,0,0,0,0,0,0,0
종이벽지,시나리오10,0,0,0,0,0,0,0,0
실크벽지,시나리오10,0,0,0,0,0,0,0,0
paint,시나리오10,0,0,0,0,0,0,0,0
mdf,시나리오11,0,0,0,0,0,0,0,0
PVC tile,시나리오11,0,0,0,0,0,0,0,0
PVC floor,시나리오11,2.51E+10,2.00E+12,94200000,92000000,174000000,0,0,0
종이벽지,시나리오11,0,0,0,0,0,0,0,0
실크벽지,시나리오11,0,0,0,0,0,0,0,0
paint,시나리오11,0,0,0,0,0,0,0,0
mdf,시나리오12,28840315.03,25118864.32,0,0,0,0,0,0
PVC tile,시나리오12,0,0,0,0,0,0,0,0
PVC floor,시나리오12,0,0,0,0,0,0,0,0
종이벽지,시나리오12,0,0,0,0,0,0,0,0
실크벽지,시나리오12,0,0,0,0,0,0,0,0
paint,시나리오12,0,0,0,0,0,0,0,0
mdf,시나리오13,28840315.03,25118864.32,0,0,0,0,0,0
PVC tile,시나리오13,0,0,0,0,0,0,0,0
PVC floor,시나리오13,0,0,0,0,0,0,0,0
종이벽지,시나리오13,0,0,0,0,0,0,0,0
실크벽지,시나리오13,0,0,0,0,0,0,0,0
paint,시나리오13,0,0,0,0,0,0,501187233.6,35481338.92
mdf,시나리오14,0,0,0,0,0,0,0,0
PVC tile,시나리오14,2.51E+10,2.00E+12,20900000,18900000,253000000,0,0,0
PVC floor,시나리오14,0,0,0,0,0,0,0,0
종이벽지,시나리오14,0,0,0,0,0,0,0,0
실크벽지,시나리오14,0,0,0,0,0,0,0,0
paint,시나리오14,0,0,0,0,0,0,501187233.6,35481338.92
mdf,시나리오15,0,0,0,0,0,0,0,0
PVC tile,시나리오15,2.51E+10,2.00E+12,20900000,18900000,253000000,0,0,0
PVC floor,시나리오15,0,0,0,0,0,0,0,0
종이벽지,시나리오15,0,0,0,0,0,0,0,0
실크벽지,시나리오15,0,0,0,0,0,0,0,0
paint,시나리오15,0,0,0,0,0,0,501187233.6,35481338.92
